Subjectindex	Session	Fixation.Onset	Text1.Onset	Blank.Onset	Audio.Onset	Text2.Onset	If.Response	Corre.Response	Response.Onset
1	1	1558000	1560000	1563000	FALSE	1570500	TRUE	TRUE	1572293
1	1	1575500	1578500	1580500	FALSE	1589500	TRUE	TRUE	1591084
1	1	1594500	1596500	1599500	TRUE	1609500	TRUE	FALSE	1612107
1	1	1614500	1617500	1619500	FALSE	1626000	FALSE	FALSE	1626000
1	1	1631000	1633000	1636000	TRUE	1643000	FALSE	FALSE	1643000
1	1	1648000	1650000	1653000	FALSE	1661500	TRUE	TRUE	1663312
1	1	1666500	1668500	1671500	TRUE	1681500	TRUE	FALSE	1684228
1	1	1686500	1688500	1691500	FALSE	1700500	TRUE	TRUE	1702349
1	1	1705500	1707500	1710500	TRUE	1720000	FALSE	FALSE	1720000
1	1	1725000	1728000	1730000	FALSE	1739000	TRUE	TRUE	1740445
1	1	1744000	1746000	1749000	FALSE	1757000	TRUE	TRUE	1758855
1	1	1762000	1764000	1767000	FALSE	1776500	TRUE	TRUE	1778374
1	1	1781500	1784500	1786500	FALSE	1794500	TRUE	TRUE	1795923
1	1	1799500	1802500	1804500	TRUE	1813000	TRUE	TRUE	1815659
1	1	1818000	1820000	1823000	FALSE	1829500	TRUE	TRUE	1831515
1	1	1834500	1836500	1839500	TRUE	1845500	TRUE	FALSE	1848044
1	1	1850500	1853500	1855500	TRUE	1865000	FALSE	FALSE	1865000
1	1	1870000	1873000	1875000	TRUE	1883500	TRUE	TRUE	1886167
1	1	1888500	1890500	1893500	TRUE	1902000	TRUE	TRUE	1904489
1	1	1907000	1909000	1912000	FALSE	1918500	FALSE	FALSE	1918500
1	1	1923500	1926500	1928500	TRUE	1936500	TRUE	TRUE	1939048
1	1	1941500	1943500	1946500	FALSE	1954000	TRUE	TRUE	1955926
1	1	1959000	1961000	1964000	FALSE	1972500	TRUE	TRUE	1974454
1	1	1977500	1979500	1982500	TRUE	1991500	TRUE	FALSE	1994325
1	1	1996500	1998500	2001500	TRUE	2008000	TRUE	TRUE	2010613
1	1	2013000	2015000	2018000	TRUE	2026000	TRUE	TRUE	2028551
1	1	2031000	2034000	2036000	TRUE	2042000	TRUE	TRUE	2044498
1	1	2047000	2049000	2052000	TRUE	2058500	TRUE	FALSE	2061153
1	1	2063500	2066500	2068500	TRUE	2077000	TRUE	TRUE	2079624
1	1	2082000	2084000	2087000	FALSE	2093000	TRUE	TRUE	2094883
1	1	2098000	2101000	2103000	TRUE	2109000	TRUE	TRUE	2111735
1	1	2114000	2117000	2119000	TRUE	2125000	TRUE	TRUE	2127800
1	1	2130000	2133000	2135000	TRUE	2142000	TRUE	TRUE	2144607
1	1	2147000	2150000	2152000	TRUE	2162000	TRUE	TRUE	2164572
1	1	2167000	2170000	2172000	FALSE	2178000	TRUE	TRUE	2179401
1	1	2183000	2185000	2188000	FALSE	2194000	TRUE	TRUE	2195801
1	1	2199000	2201000	2204000	TRUE	2210000	TRUE	TRUE	2212591
1	1	2215000	2218000	2220000	FALSE	2230000	TRUE	TRUE	2231434
1	1	2235000	2237000	2240000	FALSE	2248500	TRUE	FALSE	2250455
1	1	2253500	2255500	2258500	TRUE	2266500	TRUE	FALSE	2269226
1	1	2271500	2273500	2276500	FALSE	2286500	TRUE	FALSE	2288650
1	1	2291500	2294500	2296500	FALSE	2305000	TRUE	TRUE	2306488
1	1	2310000	2312000	2315000	TRUE	2324000	TRUE	TRUE	2326574
1	1	2329000	2332000	2334000	TRUE	2341500	TRUE	TRUE	2344008
1	1	2346500	2349500	2351500	TRUE	2359500	TRUE	TRUE	2362071
1	1	2364500	2367500	2369500	FALSE	2378000	TRUE	TRUE	2379474
1	1	2383000	2386000	2388000	FALSE	2394000	TRUE	TRUE	2395749
1	1	2399000	2402000	2404000	TRUE	2411500	TRUE	TRUE	2414173
1	1	2416500	2419500	2421500	TRUE	2428500	TRUE	FALSE	2431201
1	1	2433500	2435500	2438500	FALSE	2444500	TRUE	FALSE	2446285
1	1	2449500	2452500	2454500	FALSE	2463500	TRUE	TRUE	2464871
1	1	2468500	2470500	2473500	TRUE	2481500	TRUE	FALSE	2484008
1	1	2486500	2489500	2491500	FALSE	2500000	FALSE	FALSE	2500000
1	1	2505000	2508000	2510000	FALSE	2520000	TRUE	TRUE	2521473
1	1	2525000	2528000	2530000	FALSE	2538000	TRUE	TRUE	2539434
1	1	2543000	2546000	2548000	TRUE	2557000	TRUE	TRUE	2559569
1	1	2562000	2565000	2567000	FALSE	2577000	TRUE	TRUE	2578559
1	1	2582000	2585000	2587000	TRUE	2595000	TRUE	TRUE	2597590
1	1	2600000	2603000	2605000	TRUE	2613500	TRUE	TRUE	2616109
1	1	2618500	2620500	2623500	FALSE	2629500	TRUE	TRUE	2631365
1	1	2634500	2636500	2639500	FALSE	2646500	FALSE	FALSE	2646500
1	1	2651500	2653500	2656500	FALSE	2666500	FALSE	FALSE	2666500
1	1	2671500	2674500	2676500	FALSE	2686000	TRUE	TRUE	2687619
1	1	2691000	2693000	2696000	TRUE	2702500	FALSE	FALSE	2702500
1	1	2707500	2709500	2712500	TRUE	2722500	TRUE	FALSE	2725260
1	1	2727500	2730500	2732500	TRUE	2742500	TRUE	FALSE	2745159
1	1	2747500	2750500	2752500	FALSE	2759500	TRUE	TRUE	2760885
1	1	2764500	2766500	2769500	TRUE	2778000	TRUE	TRUE	2780384
1	1	2783000	2786000	2788000	TRUE	2795000	TRUE	FALSE	2797753
1	1	2800000	2803000	2805000	TRUE	2812000	TRUE	TRUE	2814728
1	1	2817000	2819000	2822000	FALSE	2831500	TRUE	TRUE	2833501
1	1	2836500	2838500	2841500	FALSE	2849500	TRUE	TRUE	2851728
1	1	2854500	2857500	2859500	FALSE	2868000	TRUE	TRUE	2869421
1	1	2873000	2875000	2878000	FALSE	2887000	TRUE	TRUE	2888895
1	1	2892000	2894000	2897000	TRUE	2905000	TRUE	TRUE	2907664
1	1	2910000	2913000	2915000	TRUE	2922500	TRUE	TRUE	2925002
1	1	2927500	2929500	2932500	TRUE	2942500	TRUE	FALSE	2945077
1	1	2947500	2949500	2952500	FALSE	2960500	FALSE	FALSE	2960500
1	1	2965500	2968500	2970500	TRUE	2980500	TRUE	TRUE	2983049
1	1	2985500	2988500	2990500	FALSE	3.00E+06	TRUE	TRUE	3001447
1	1	3005000	3008000	3010000	TRUE	3016500	TRUE	TRUE	3019262
1	1	3021500	3024500	3026500	FALSE	3036000	TRUE	TRUE	3037632
1	1	3041000	3044000	3046000	TRUE	3054500	TRUE	TRUE	3057034
1	1	3059500	3061500	3064500	FALSE	3074500	TRUE	TRUE	3076460
1	1	3079500	3082500	3084500	FALSE	3090500	TRUE	TRUE	3092016
1	1	3095500	3098500	3100500	FALSE	3107500	TRUE	TRUE	3108890
1	1	3112500	3115500	3117500	FALSE	3123500	TRUE	TRUE	3125041
1	1	3128500	3130500	3133500	FALSE	3139500	TRUE	TRUE	3141379
1	1	3144500	3146500	3149500	FALSE	3157000	TRUE	FALSE	3158651
1	1	3162000	3165000	3167000	FALSE	3173000	TRUE	TRUE	3174462
1	1	3178000	3180000	3183000	TRUE	3193000	TRUE	TRUE	3195615
1	1	3198000	3201000	3203000	FALSE	3213000	FALSE	FALSE	3213000
1	1	3218000	3220000	3223000	FALSE	3230500	TRUE	TRUE	3232408
1	1	3235500	3237500	3240500	FALSE	3248000	TRUE	TRUE	3249850
1	1	3253000	3256000	3258000	TRUE	3267000	TRUE	TRUE	3269581
1	1	3272000	3275000	3277000	TRUE	3287000	TRUE	TRUE	3289622
1	1	3292000	3294000	3297000	TRUE	3304000	TRUE	TRUE	3306676
1	1	3309000	3311000	3314000	TRUE	3321500	TRUE	FALSE	3324274
1	1	3326500	3328500	3331500	TRUE	3337500	TRUE	FALSE	3340002
1	1	3342500	3345500	3347500	FALSE	3357500	TRUE	TRUE	3358973
1	1	3362500	3364500	3367500	FALSE	3373500	FALSE	FALSE	3373500
1	1	3378500	3380500	3383500	TRUE	3393500	TRUE	TRUE	3396079
1	1	3398500	3400500	3403500	FALSE	3410000	TRUE	TRUE	3411905
1	1	3415000	3417000	3420000	FALSE	3426500	TRUE	TRUE	3428237
1	1	3431500	3434500	3436500	TRUE	3444000	TRUE	FALSE	3446827
1	1	3449000	3451000	3454000	FALSE	3461500	TRUE	FALSE	3463424
1	1	3466500	3469500	3471500	TRUE	3478000	TRUE	TRUE	3480573
1	1	3483000	3486000	3488000	TRUE	3496500	FALSE	FALSE	3496500
1	1	3501500	3504500	3506500	FALSE	3513500	TRUE	TRUE	3514732
1	1	3518500	3521500	3523500	FALSE	3530500	TRUE	FALSE	3531978
1	1	3535500	3538500	3540500	TRUE	3549000	TRUE	TRUE	3551659
1	1	3554000	3557000	3559000	FALSE	3566000	TRUE	TRUE	3567522
1	1	3571000	3574000	3576000	FALSE	3584500	TRUE	TRUE	3585991
2	1	1000	3000	6000	FALSE	15000	TRUE	TRUE	17010
2	1	20000	23000	25000	TRUE	31000	TRUE	FALSE	33684
2	1	36000	39000	41000	FALSE	51000	TRUE	TRUE	52405
2	1	56000	58000	61000	TRUE	67000	TRUE	TRUE	69609
2	1	72000	75000	77000	TRUE	83000	TRUE	TRUE	85496
2	1	88000	91000	93000	FALSE	100500	TRUE	TRUE	102160
2	1	105500	108500	110500	FALSE	118000	TRUE	TRUE	119668
2	1	123000	125000	128000	FALSE	137000	TRUE	TRUE	139085
2	1	142000	145000	147000	FALSE	154000	FALSE	FALSE	154000
2	1	159000	162000	164000	TRUE	172500	TRUE	TRUE	175277
2	1	177500	180500	182500	FALSE	192500	TRUE	TRUE	194035
2	1	197500	200500	202500	FALSE	210000	TRUE	TRUE	211416
2	1	215000	217000	220000	FALSE	229000	FALSE	FALSE	229000
2	1	234000	237000	239000	FALSE	246000	TRUE	FALSE	247422
2	1	251000	253000	256000	TRUE	263500	FALSE	FALSE	263500
2	1	268500	271500	273500	FALSE	281000	TRUE	TRUE	282510
2	1	286000	288000	291000	FALSE	299000	TRUE	TRUE	300920
2	1	304000	307000	309000	FALSE	316000	TRUE	FALSE	317536
2	1	321000	324000	326000	TRUE	335000	TRUE	FALSE	337623
2	1	340000	343000	345000	FALSE	352000	TRUE	TRUE	353552
2	1	357000	359000	362000	FALSE	368000	TRUE	FALSE	370056
2	1	373000	375000	378000	TRUE	385500	TRUE	TRUE	388136
2	1	390500	392500	395500	TRUE	403500	TRUE	FALSE	405988
2	1	408500	411500	413500	TRUE	420500	TRUE	TRUE	423039
2	1	425500	427500	430500	TRUE	439500	TRUE	FALSE	441999
2	1	444500	447500	449500	FALSE	459000	TRUE	TRUE	460504
2	1	464000	467000	469000	FALSE	477000	TRUE	TRUE	478572
2	1	482000	485000	487000	FALSE	496000	TRUE	TRUE	497400
2	1	501000	503000	506000	FALSE	515000	TRUE	TRUE	516913
2	1	520000	523000	525000	FALSE	532000	TRUE	TRUE	533518
2	1	537000	540000	542000	FALSE	550000	TRUE	TRUE	551487
2	1	555000	557000	560000	FALSE	569500	TRUE	TRUE	571282
2	1	574500	576500	579500	TRUE	586500	FALSE	FALSE	586500
2	1	591500	593500	596500	TRUE	603000	FALSE	FALSE	603000
2	1	608000	611000	613000	FALSE	621000	TRUE	TRUE	622547
2	1	626000	629000	631000	FALSE	640000	TRUE	TRUE	641599
2	1	645000	648000	650000	FALSE	659000	TRUE	TRUE	660701
2	1	664000	666000	669000	FALSE	675000	TRUE	FALSE	676951
2	1	680000	683000	685000	TRUE	692000	TRUE	TRUE	694616
2	1	697000	7.00E+05	702000	TRUE	710000	TRUE	TRUE	712532
2	1	715000	718000	720000	TRUE	728500	TRUE	TRUE	731061
2	1	733500	735500	738500	TRUE	747000	TRUE	TRUE	749530
2	1	752000	754000	757000	FALSE	765000	TRUE	TRUE	766819
2	1	770000	772000	775000	TRUE	784500	FALSE	FALSE	784500
2	1	789500	791500	794500	TRUE	802000	TRUE	TRUE	804707
2	1	807000	810000	812000	FALSE	820000	FALSE	FALSE	820000
2	1	825000	828000	830000	FALSE	837000	TRUE	TRUE	838594
2	1	842000	844000	847000	FALSE	856500	TRUE	TRUE	858635
2	1	861500	864500	866500	TRUE	872500	TRUE	TRUE	874972
2	1	877500	879500	882500	FALSE	892000	TRUE	TRUE	893870
2	1	897000	899000	902000	TRUE	908000	TRUE	TRUE	910415
2	1	913000	915000	918000	FALSE	924500	TRUE	FALSE	926364
2	1	929500	932500	934500	FALSE	941500	TRUE	TRUE	942896
2	1	946500	949500	951500	TRUE	957500	TRUE	TRUE	959990
2	1	962500	964500	967500	FALSE	976000	TRUE	TRUE	977923
2	1	981000	983000	986000	TRUE	994500	TRUE	TRUE	996992
2	1	999500	1002500	1004500	FALSE	1012000	TRUE	TRUE	1013463
2	1	1017000	1020000	1022000	FALSE	1031500	TRUE	TRUE	1032929
2	1	1036500	1039500	1041500	FALSE	1051500	TRUE	TRUE	1052892
2	1	1056500	1059500	1061500	TRUE	1071000	TRUE	TRUE	1073526
2	1	1076000	1078000	1081000	FALSE	1088000	TRUE	TRUE	1089871
2	1	1093000	1096000	1098000	FALSE	1104000	TRUE	TRUE	1105542
2	1	1109000	1111000	1114000	FALSE	1120000	TRUE	TRUE	1122023
2	1	1125000	1127000	1130000	TRUE	1136500	TRUE	TRUE	1138985
2	1	1141500	1144500	1146500	FALSE	1156000	TRUE	TRUE	1157613
2	1	1161000	1164000	1166000	TRUE	1174500	TRUE	TRUE	1177155
2	1	1179500	1182500	1184500	FALSE	1194500	TRUE	TRUE	1196089
2	1	1199500	1201500	1204500	TRUE	1214500	TRUE	FALSE	1217122
2	1	1219500	1221500	1224500	TRUE	1231500	TRUE	FALSE	1233988
2	1	1236500	1239500	1241500	FALSE	1248000	TRUE	TRUE	1249319
2	1	1253000	1256000	1258000	FALSE	1266500	TRUE	FALSE	1267953
2	1	1271500	1273500	1276500	TRUE	1286500	TRUE	FALSE	1289143
2	1	1291500	1293500	1296500	TRUE	1306500	TRUE	TRUE	1309086
2	1	1311500	1313500	1316500	FALSE	1325500	TRUE	TRUE	1327545
2	1	1330500	1333500	1335500	FALSE	1343500	TRUE	TRUE	1345060
2	1	1348500	1350500	1353500	FALSE	1359500	TRUE	TRUE	1361434
2	1	1364500	1366500	1369500	TRUE	1375500	FALSE	FALSE	1375500
2	1	1380500	1383500	1385500	TRUE	1394000	TRUE	TRUE	1396637
2	1	1399000	1401000	1404000	TRUE	1411000	TRUE	TRUE	1413366
2	1	1416000	1419000	1421000	FALSE	1431000	FALSE	FALSE	1431000
2	1	1436000	1438000	1441000	FALSE	1448500	TRUE	TRUE	1450604
2	1	1453500	1455500	1458500	FALSE	1465500	FALSE	FALSE	1465500
2	1	1470500	1472500	1475500	FALSE	1485000	TRUE	TRUE	1486919
2	1	1490000	1492000	1495000	FALSE	1504000	TRUE	FALSE	1505902
2	1	1509000	1512000	1514000	TRUE	1521000	TRUE	FALSE	1523588
2	1	1526000	1529000	1531000	FALSE	1539500	TRUE	TRUE	1541025
2	1	1544500	1547500	1549500	FALSE	1557500	TRUE	TRUE	1559157
2	1	1562500	1565500	1567500	TRUE	1575000	TRUE	TRUE	1577341
2	1	1580000	1582000	1585000	FALSE	1591000	TRUE	TRUE	1592960
2	1	1596000	1598000	1601000	TRUE	1607000	TRUE	TRUE	1609676
2	1	1612000	1615000	1617000	FALSE	1625500	TRUE	TRUE	1626819
2	1	1630500	1632500	1635500	FALSE	1641500	TRUE	TRUE	1643337
2	1	1646500	1649500	1651500	FALSE	1658000	TRUE	TRUE	1659473
2	1	1663000	1665000	1668000	TRUE	1674000	TRUE	TRUE	1676624
2	1	1679000	1682000	1684000	FALSE	1692500	TRUE	TRUE	1694024
2	1	1697500	1700500	1702500	TRUE	1712500	TRUE	FALSE	1715320
2	1	1717500	1719500	1722500	TRUE	1730500	TRUE	TRUE	1732956
2	1	1735500	1737500	1740500	TRUE	1746500	TRUE	FALSE	1748950
2	1	1751500	1754500	1756500	FALSE	1765500	FALSE	FALSE	1765500
2	1	1770500	1773500	1775500	TRUE	1784000	TRUE	TRUE	1786689
2	1	1789000	1791000	1794000	TRUE	1802500	TRUE	FALSE	1805082
2	1	1807500	1810500	1812500	FALSE	1818500	FALSE	FALSE	1818500
2	1	1823500	1826500	1828500	FALSE	1837500	TRUE	TRUE	1838891
2	1	1842500	1845500	1847500	FALSE	1855500	TRUE	TRUE	1856898
2	1	1860500	1862500	1865500	TRUE	1874500	TRUE	FALSE	1877005
2	1	1879500	1882500	1884500	TRUE	1891500	TRUE	TRUE	1893953
2	1	1896500	1899500	1901500	FALSE	1909500	TRUE	TRUE	1910969
2	1	1914500	1917500	1919500	TRUE	1927000	FALSE	FALSE	1927000
2	1	1932000	1934000	1937000	FALSE	1944000	TRUE	TRUE	1945752
2	1	1949000	1952000	1954000	FALSE	1961500	TRUE	TRUE	1963070
2	1	1966500	1968500	1971500	FALSE	1979500	TRUE	TRUE	1981499
2	1	1984500	1987500	1989500	FALSE	1996500	TRUE	TRUE	1998040
2	1	2001500	2004500	2006500	FALSE	2015000	TRUE	TRUE	2016551
2	1	2020000	2022000	2025000	TRUE	2035000	TRUE	FALSE	2037675
2	1	2040000	2043000	2045000	FALSE	2051500	TRUE	TRUE	2052957
2	1	2056500	2058500	2061500	TRUE	2069500	TRUE	FALSE	2072031
2	1	2074500	2077500	2079500	FALSE	2088000	TRUE	TRUE	2089599
2	1	2093000	2095000	2098000	FALSE	2106500	FALSE	FALSE	2106500
2	1	2111500	2113500	2116500	FALSE	2126000	TRUE	FALSE	2127904
2	1	2131000	2133000	2136000	FALSE	2142500	TRUE	TRUE	2144505
2	1	2147500	2149500	2152500	FALSE	2160000	TRUE	FALSE	2161868
2	1	2165000	2167000	2170000	FALSE	2177000	TRUE	TRUE	2178874
2	1	2182000	2185000	2187000	TRUE	2194000	TRUE	TRUE	2196546
2	1	2199000	2202000	2204000	FALSE	2212500	TRUE	TRUE	2214019
2	1	2217500	2219500	2222500	TRUE	2228500	TRUE	FALSE	2231219
2	1	2233500	2235500	2238500	FALSE	2244500	TRUE	TRUE	2246444
2	1	2249500	2251500	2254500	TRUE	2264500	TRUE	TRUE	2267132
2	1	2269500	2272500	2274500	FALSE	2280500	TRUE	TRUE	2282021
2	1	2285500	2288500	2290500	FALSE	2298500	TRUE	TRUE	2300200
2	1	2303500	2305500	2308500	FALSE	2316500	TRUE	TRUE	2318415
2	1	2321500	2323500	2326500	FALSE	2335500	TRUE	FALSE	2337414
2	1	2340500	2342500	2345500	FALSE	2353500	TRUE	TRUE	2355445
2	1	2358500	2360500	2363500	TRUE	2370500	TRUE	FALSE	2373056
2	1	2375500	2377500	2380500	FALSE	2389000	TRUE	TRUE	2390842
2	1	2394000	2397000	2399000	TRUE	2408000	TRUE	TRUE	2410610
2	1	2413000	2416000	2418000	TRUE	2424000	TRUE	TRUE	2426602
2	1	2429000	2432000	2434000	FALSE	2440500	TRUE	TRUE	2442070
2	1	2445500	2447500	2450500	FALSE	2460000	TRUE	TRUE	2461793
2	1	2465000	2467000	2470000	FALSE	2477500	TRUE	TRUE	2479530
2	1	2482500	2485500	2487500	TRUE	2495500	TRUE	TRUE	2498167
2	1	2500500	2503500	2505500	FALSE	2515000	TRUE	TRUE	2516623
2	1	2520000	2523000	2525000	FALSE	2535000	TRUE	TRUE	2536477
2	1	2540000	2543000	2545000	FALSE	2552000	TRUE	TRUE	2553466
2	1	2557000	2559000	2562000	TRUE	2571000	TRUE	FALSE	2573744
2	1	2576000	2578000	2581000	FALSE	2591000	TRUE	TRUE	2593015
2	1	2596000	2598000	2601000	TRUE	2610000	TRUE	TRUE	2612551
2	1	2615000	2618000	2620000	TRUE	2628000	TRUE	TRUE	2630500
2	1	2633000	2635000	2638000	FALSE	2644500	TRUE	TRUE	2646507
2	1	2649500	2652500	2654500	FALSE	2663500	TRUE	TRUE	2664884
2	1	2668500	2671500	2673500	TRUE	2679500	TRUE	TRUE	2682010
2	1	2684500	2687500	2689500	TRUE	2695500	TRUE	FALSE	2697941
2	1	2700500	2703500	2705500	TRUE	2713000	TRUE	FALSE	2715651
2	1	2718000	2720000	2723000	FALSE	2730500	TRUE	TRUE	2732499
2	1	2735500	2738500	2740500	FALSE	2749000	TRUE	TRUE	2750580
2	1	2754000	2756000	2759000	FALSE	2766500	TRUE	TRUE	2768398
2	1	2771500	2773500	2776500	FALSE	2785000	TRUE	TRUE	2786825
2	1	2790000	2792000	2795000	FALSE	2802000	TRUE	FALSE	2803861
2	1	2807000	2809000	2812000	FALSE	2821500	TRUE	TRUE	2823417
2	1	2826500	2829500	2831500	TRUE	2839500	TRUE	TRUE	2842227
2	1	2844500	2846500	2849500	TRUE	2857000	TRUE	TRUE	2859637
2	1	2862000	2865000	2867000	FALSE	2875500	TRUE	TRUE	2877033
2	1	2880500	2883500	2885500	FALSE	2895000	FALSE	FALSE	2895000
2	1	2900000	2902000	2905000	FALSE	2911500	TRUE	FALSE	2913536
2	1	2916500	2919500	2921500	FALSE	2931000	FALSE	FALSE	2931000
2	1	2936000	2938000	2941000	FALSE	2951000	TRUE	FALSE	2952982
2	1	2956000	2958000	2961000	TRUE	2969500	TRUE	FALSE	2972172
